MJD,RV,RV_error
50002.6736499998,-40.87,3.3
50002.8087300002,-46.96,3.6
50002.9597900002,-47.39,4.5
50003.62695,-19.85,2.9
50003.73265000009,-13.47,2.6
50003.9007700002,-5.782,3.0
50004.6075300002,49.41,2.2
50004.7842899999,58.66,2.5
50004.9069900001,63.2,3.2
50005.6050300002,45.6,2.7
50005.925439999904,17.88,3.3
50011.6442999998,-45.5,4.7
50011.8377999999,-38.98,4.9
50012.6354999999,27.27,5.2
50012.8664000002,32.45,6.5
50013.6242,63.38,4.6
50013.8295,54.78,6.2
50014.6428,-1.34,5.4
50014.722899999906,-5.477,5.5
50014.8160999999,-10.73,4.4
50014.9043000001,-26.29,7.3
50015.6261,-50.68,4.6
50015.7467,-45.78,4.6
50015.8654,-57.54,5.6
50016.6148999999,10.56,5.0
50016.7592000002,12.91,4.6
50016.8473999999,16.4,6.6
50017.7341,63.64,4.4
50017.8442000002,60.48,6.0
50018.6161000002,26.29,5.2
50018.7648,5.988,5.4
50018.8539999998,-7.798,6.5
50019.6217999999,-43.62,4.7
50019.732499999904,-59.45,4.8
50019.8473,-58.6,4.7
50020.6137000001,-20.22,4.0
50020.7401000001,-8.064,4.0
50020.8542999998,5.596,5.2
50021.6151000001,56.41,4.5
50021.662,59.26,4.3
50021.7063000002,66.78,6.4
50023.5986000001,-35.13,5.1
50023.6447999999,-37.3,4.4
50023.6904000002,-31.35,4.9
50023.7258000001,-42.57,7.5
50024.6390999998,-33.47,2.6
50024.7261000001,-27.46,3.0
50024.8174000001,-22.7,3.7
50025.6225999999,45.34,4.6
50025.7144999998,47.61,4.5
50025.7615,56.15,4.7
50026.6176,65.32,6.1
50026.6507999999,69.63,6.1
50026.7020000001,62.54,6.7
50026.7365999999,50.86,7.7
50027.6474000001,-22.66,4.3
50027.6893000002,-22.55,6.3
50027.7398999999,-31.82,5.2
50027.7721000002,-31.72,6.5
50028.6061,-44.12,4.7
50028.6556000002,-33.59,4.8
50028.7019000002,-37.1,4.8
50028.7450000001,-39.13,4.6
50028.7799,-35.32,6.6
50029.6093000001,25.09,4.3
50029.7001,35.69,4.5
50029.7467999999,41.17,4.3
50030.6003999999,61.33,5.6
50030.6453999998,58.98,7.5
50030.693,63.07,6.1
50030.740199999906,56.86,5.0
50030.8333999999,50.98,5.3
50031.6619000002,-2.545,5.0
50031.7052000002,0.7633,5.7
50031.7492,-4.599,5.9
50032.6044999999,-38.53,4.3
50032.6479000002,-48.68,4.3
50032.6943000001,-38.84,4.7
50033.6072999998,2.696,4.4
50033.6527,11.46,4.6
50033.6982,14.02,4.6
50033.7330999998,17.55,7.5
50035.5970000001,19.74,2.4
50040.7492999998,-41.45,9.3
50041.6044999999,-21.47,5.1
50041.693200000096,-20.37,4.7
50041.738799999905,-21.67,5.2
50043.6442,49.31,4.6
50044.6497999998,-35.66,4.4
50045.6065000002,-38.28,4.8
50046.6779,34.98,6.1
50046.7230000002,37.54,4.9
50058.5843000002,-24.0,4.4
50068.6825999999,73.89,5.9
50072.6461999998,58.57,4.5
50073.6713,13.45,7.0
50086.7296000002,-21.9,6.6
50087.5888,-47.91,6.1
50088.61109999991,-1.292,4.6
50089.6847000001,60.15,4.6
50090.6612,10.59,5.3
50091.6137000001,-49.72,4.9
50182.0260000001,22.41,6.7
50215.981000000094,41.06,5.8
50232.969,42.39,7.2
50235.9539999999,-40.99,6.0
50262.9909999999,61.66,4.2
50288.9330000002,47.51,4.5
50298.923,-40.99,4.6
50304.889,45.03,4.4
50326.8960000002,53.51,4.4
