MJD,RV,RV_error
53238.77009300003,-7.03,0.828631
53428.12928200001,-0.37,1.008105
53551.843795999885,-2.04,0.890011
53602.78116900008,-10.92,0.861755
53748.17020800011,2.46,0.9712
53754.15069400007,-5.96,1.054754
53777.146007,-3.68,1.003496
53932.80041699996,-1.5,0.825356
53981.73139999993,-4.83,0.673266
53982.7257869998,-8.72,0.773914
53983.72663199995,-6.39,0.824322
53984.73311300017,-8.11,0.835498
54246.966134000104,-1.75,1.102183
54246.97075199988,-0.83,1.103512
54247.95354200015,-1.18,0.990126
54248.91268499987,2.79,1.115871
54251.845521000214,10.07,1.111915
54255.823171,0.14,0.972037
54255.82481499994,-1.11,0.911676
54277.776920999866,-4.75,0.943587
54278.789687000215,-5.07,0.961968
54285.79846099997,9.33,1.032947
54294.8499309998,4.6,0.898209
54304.81338000018,-0.32,0.935523
54304.81574100023,-0.12,0.831983
54305.8235650002,-1.06,0.751871
54305.82575199986,-2.34,0.726099
54306.820069000125,-0.88,0.843911
54307.85016199993,-1.86,0.840548
54307.85307900002,-3.2,0.885371
54308.8313310002,-2.67,0.759643
54308.83486100007,-4.35,0.862762
54309.81772000017,-2.23,0.840815
54309.8201270001,-4.67,0.739736
54310.812928,-7.25,0.784987
54310.815347000025,-6.73,0.731352
54311.80547499983,-5.84,0.79093
54311.80795100005,-1.97,0.75011
54312.80326399999,-6.58,0.760438
54312.805693999864,-2.86,0.826572
54313.811817000154,-4.29,0.794416
54313.81429400016,-2.48,0.781874
54314.83349499991,-1.97,0.819737
54314.83630800014,-2.25,0.84022
54318.80402800022,2.46,0.832267
54318.81039399979,2.49,0.807033
54335.72699100012,-5.49,0.77469
54339.73108799989,-4.12,0.855479
54343.74122700002,1.21,0.800078
54493.10644700006,5.26,1.062708
54547.99886600021,1.51,1.13398
54549.024155000225,-8.43,1.215592
54602.82357600005,-8.06,1.058917
54603.81233800016,-3.53,1.14416
54633.85317099979,5.98,1.167847
54634.853633999825,3.9,1.019711
54635.87196800019,2.28,1.034824
54636.81306699989,-0.65,1.084396
54637.87770800013,-1.62,1.14317
54638.89542800002,-3.4,1.015206
54639.90623799991,-7.98,1.133753
54640.89639999997,-6.43,1.45247
54641.89458299987,-5.93,1.106224
54643.8772450001,-4.64,1.155975
54674.808056000154,-2.32,1.183523
54688.77041700017,0.53,0.966168
54689.77126199985,-1.59,0.947052
54717.72098399978,-1.16,1.10917
54718.72817099979,0.78,1.04417
54719.72913199989,-0.43,1.048417
54720.72296300018,1.35,1.018496
54721.72244200017,-0.87,0.916896
54722.73092600005,4.28,1.067059
54723.73025499983,6.52,1.05034
54724.73256900022,10.39,1.07841
54725.72586800018,8.21,1.043737
54726.74927099981,6.83,1.107742
54727.7490389999,8.03,1.056075
54928.08058999991,3.45,1.208538
54929.09123700019,4.93,1.135771
54930.047226999886,-0.91,1.119108
54964.02737999987,1.3,1.130636
54983.94807399995,11.1,1.131222
54984.8528359998,8.45,1.156048
54985.96622399986,6.32,1.079255
54986.95667399978,7.06,1.130122
54988.95899299998,3.49,1.109154
55016.94691700023,5.61,1.026843
55041.85334999999,13.67,0.993135
55043.83906499995,10.49,1.0642
55252.0414760001,0.95,1.080153
55252.04320099997,1.0,1.092772
55256.1207320001,-2.28,1.076875
55256.13055900019,0.68,1.148328
55405.803228999954,-4.39,0.869748
55615.074465999845,9.37,1.203727
55992.06501000002,-6.27,1.185946
56145.811042000074,-6.7,1.029872
56533.72547800001,-1.4,0.966496
56709.09736299981,1.8,1.069074
56882.731011,-6.06,0.900363
57150.98232800001,-5.17,1.0637
57207.84037999995,7.68,1.137081
57579.7521970002,-2.08,0.945598
57887.04632599978,-6.57,1.10135
57988.72281000018,-3.42,1.022713
58291.97525099991,0.69,1.439791
58509.13116999995,-8.26,1.266081
58646.798264999874,-8.29,1.018542
