MJD,RV,RV_error
51118.88739999989,-4.300000,3.300000
51119.902199999895,-4.800000,2.900000
51120.887000000104,-4.700000,2.800000
51121.89280000003,-4.300000,2.900000
51236.2864000001,-20.100000,4.000000
51410.89770000009,-40.800000,2.800000
51412.97729999991,-41.200000,5.500000
51413.898099999875,-33.800000,2.800000
51630.30420000013,46.200000,3.300000
51683.09260000009,49.000000,3.800000
51684.132000000216,46.200000,4.000000
51718.118400000036,33.800000,3.600000
51742.9095999999,21.100000,3.200000
51743.924000000115,30.700000,3.800000
51745.04400000023,19.400000,3.200000
51766.933000000194,11.300000,3.100000
51767.96890000021,13.400000,3.200000
51827.89729999984,0.600000,3.000000
51828.88659999985,6.400000,3.800000
51829.88899999997,0.000000,3.500000
51855.90579999983,-1.100000,4.600000
